Typo,Sh,Yc,Nf,Sj,Db,Eb,Ad,Hf,Hb,Hg,Sb,Sp,Tw,Ee,Er,Hcs, Yr
LC-1,1,1915,5,4,1,1,80,3.3,2.3,0.1,3,3,45,0,1,0,
LC-2,1,1915,4,2,1,1,60,3.3,2.3,0.1,3,3,45,0,1,0,
LC-3,1,1915,4,2,0,1,50,3.4,2.3,0.1,3,3,45,0,0,0,
LC-4,1,1915,5,2,1,1,50,3.4,2.3,0.1,3,3,45,0,1,0,
LC-5,1,1930,5,4,1,1,60,3.6,2.3,0.1,3,3,35,0,1,0,
LC-6/7,1,1930,6,2,1,1,50,3.6,2.3,0.1,3,3,35,0,0,0,
LC-8,1,1930,8,4,0,1,45,3.2,2.3,0.1,1,3,22,1,0,0,
LC-9,1,1955,2,2,1,1,60,3.2,2.3,0.1,2,3,20,0,0,0,
LC-10,1,1955,5,4,0,1,65,3.2,2.3,0.1,2,3,20,1,0,0,
LC-11 ,1,1955,12,4,0,1,50,3.2,2.3,0.1,2,3,20,1,0,0,
LC-12,1,1972,3,4,1,0,65,3,2.3,0.1,2,3,20,0,1,1.2,
LC-13,1,1972,11,4,0,1,65,2.9,2.3,0.1,2,3,20,1,0,0,
LC-14,1,1972,10,4,0,1,50,2.9,2.3,0.1,2,3,20,1,0,0,
LC-15,1,1978,5,4,1,0,65,2.9,2.3,0.1,2,3,25,0,1,1.2,
LC-16,1,1978,5,4,0,0,65,2.9,2.3,0.1,2,3,25,1,0,1.2,
LC-17,1,1978,10,4,0,1,50,2.9,2.3,0.1,2,3,25,1,0,0,
LC-18,1,1978,3,4,1,1,65,3,2.3,0.1,2,2,25,1,1,0,
LC-19,1,1978,6,4,1,1,65,3,2.3,0.1,2,2,25,1,1,0,
LC-20,1,1978,7,4,0,1,50,3,2.3,0.1,2,2,25,1,0,0,
LC-21,1,1995,3,4,1,1,60,3,2.3,0.1,2,2,30,1,1,0,
LC-22,1,1995,8,4,1,1,55,3,2.3,0.1,2,2,25,1,1,0,
LC-23,1,2003,4,4,1,1,60,3,2.3,0.1,2,2,28,0,1,0,
LC-24,1,>2003,4,4,1,1,60,3,2.3,0.1,2,2,28,0,1,0,
MI-1 - MI-3,0,1915,2,4,0,0,90,3.2,2,0.1,3,1,45,0,1,0,
MI-2,0,1915,2,4,0,1,200,3.7,2,0.1,3,1,45,0,1,0,
MI-4,0,1915,2,2,0,0,120,3.4,2,0.1,3,1,45,0,1,0,
MI-5 - MI-6,0,1930,2,4,0,1,130,3.1,2,0.1,1,1,22,0,0,0,
MI-7,0,1930,2,2,0,1,110,3.1,2,0.1,1,1,22,0,0,0,
MI-8,0,1955,2,4,0,1,100,3.1,2,0.1,1,1,22,0,0,0,
MI-9,0,1955,2,2,0,1,100,3.1,2,0.1,2,1,30,0,0,0,
MI-10,0,1972,2,4,0,0,95,3,2,0.1,2,1,23,0,0,0,
MI-11,0,1972,2,2,0,0,100,3,2,0.1,2,1,23,0,0,0,
MI-12,0,1978,2,4,0,0,120,3,2,0.1,2,1,28,0,0,0.2,
MI-13,0,1978,2,2,0,1,120,3,2,0.1,2,1,27,0,0,0,
MI-14,0,1985,2,4,0,0,100,3,2,0.1,2,2,30,0,0,0,
MI-15,0,1995,2,4,0,0,105,3,2,0.1,2,2,30,0,0,0,
MI-16,0,2003,2,4,0,0,110,3,2,0.1,2,2,31,0,0,0.2,
MI-17,0,2015,2,4,0,0,110,3,2,0.1,2,2,30,0,0,0.2,